,STATE,DISTRICT,Storage name,Address,Manager Name,capacity,Longitude,Latitude
37,Andhra Pradesh,Chittoor,G.Venkatramana Reddy Fruits,PUNGANOOR OLD BUS STAND,B.Sudhakar,5,78.5712022,13.3664136
38,Andhra Pradesh,Chittoor,Ghousekhan Fruits,"KHADIRI ROAD, OPP GOVT HOSPITAL, MADANA PALLY,",Ghousekhan,,,
39,Andhra Pradesh,Chittoor,Heritage Foods Limited,HFILSPM[At]GMAIL[Dot]COM,J.Reddeppa,25,,
40,Andhra Pradesh,Chittoor,Heritage Foods Limted,MANJUNATH[Dot]GC[At]HERITAGETETAIL[Dot]COM,Sri Dgm Manjunatha,1800,,
41,Andhra Pradesh,Chittoor,Jain Unit 1,GOLLPALLI,Gollapalli,17000,80.9093148,16.7269099
42,Andhra Pradesh,Chittoor,K N M Cold Storageshri,nan,Shri K Reddy Vara Prasad,6400,,
43,Andhra Pradesh,Chittoor,KSA AGRI Cold Storage PVT LTD.,PUNGANOOR,Iftekhr Ali Ahmed,9000,78.5713232,13.368608
44,Andhra Pradesh,Chittoor,Kaleem Fruitsand Cold Storage,MARKET KUPPAM,Naheem,,78.342291,12.7461129
45,Andhra Pradesh,Chittoor,Knm Cold Storage,"KURABALA KOTA, POST ANGAL MANDANA PALLY,",Ansarali,,,
46,Andhra Pradesh,Chittoor,M.Prakashandsons,"GUDI STREET, GANGAMMA LINE, TIRUPATHI,",M.Ramesh,,,
47,Andhra Pradesh,Chittoor,M/S MKB Cold Storage,Agraharam( Dakala),,4000,,
48,Andhra Pradesh,Chittoor,M/S Murugan Cold Storage Pvt. Ltd.,Jangalapalli,,3200,80.1877404,16.237379
49,Andhra Pradesh,Chittoor,Madeena Food Agro S Products,"PK STREET, OLD BUS STAND",T.Munawar Ali,,80.4146561,8.3406704
50,Andhra Pradesh,Chittoor,Madeena Fruits Company,MOHAMMEDAFROZ82[At]YAHOO[Dot]COM,Smd Afroz,,,
51,Andhra Pradesh,Chittoor,Madina Fruits,"PILLERU ROAD, MAIN ROAD, KALLUR",Ps.Sayed Basha,10,79.0004517,13.5583316
52,Andhra Pradesh,Chittoor,Mkb Cold Storage Pvt Ltd,"PUNGANUR, ROYALPETA ROAD",M.Jagdish,4000,80.2640711,13.0539587
53,Andhra Pradesh,Chittoor,Murgan Cold Storage Pvt Ltd,RAMASAMUDRAM ROAD PUNGANUR,K.Vasu,4500,78.5713232,13.368608
54,Andhra Pradesh,Chittoor,Prabharaipling Mandi,"17-422/1, SUNDAR AYYAR STREET,",Prabhakareddy,35,,
55,Andhra Pradesh,Chittoor,Punganur Cold Storage Pvt Ltd,"RAMPALLI VILLAGE PALAMANER MANDAL, MAIN ROAD",P.Shaik Sajjad,4000,,
56,Andhra Pradesh,Chittoor,RENIGUNTA,nan,G. Siddaramaiah,20350,,
57,Andhra Pradesh,Chittoor,Rahaman Fruits,"NURSING HOME STREET, MADANA PALLY,",S.Imtiyaz Basha,20,,
58,Andhra Pradesh,Chittoor,Sab Cold Storage,GUDURPALLI VILLEGE PUNGANUR,S.Afzal,8000,78.5713232,13.368608
59,Andhra Pradesh,Chittoor,Sachinbanana Cold Storage,"BLOCK-8, PUTTHUR NEW BUS STAND ROAD",Sachin,,75.2070644,12.7686756
60,Andhra Pradesh,Chittoor,Safa Company,"MAIN ROAD, ROAD BYPASS, KATTUR",S.Bavaji,,80.2836996,13.3549962
61,Andhra Pradesh,Chittoor,Said Sairam Cold Storage Pvt Ltd,"2/250/B, AMMACHERU MITTA, KADIRI ROAD, MADANAPALLY",Co.Nagarajgupta,2500,78.5010007,13.5560496
62,Andhra Pradesh,Chittoor,Sharan Cold Storage,nan,Shri M Prashant Naik,5000,,
63,Andhra Pradesh,Chittoor,Sivaiah,"BLOCK NO-3, TARNAPALLY X ROAD, MANGO YARD, TIRUCHA",S.Sivaiah,36,,
64,Andhra Pradesh,Chittoor,Smr Fruits Merchents,"PROP S MASTAN, NEAR OLD BUS STAND, BESIDE TUNGA HO",S.Mastan,4,,
65,Andhra Pradesh,Chittoor,Sri Balaji Cold Storage,"5-1, KONDASAMUDRAM, PUNGANOOR, PALAMANER, PUNGANOO",J.Sunilkumar,5000,,
66,Andhra Pradesh,Chittoor,Sri Balaji Cold Storage,Kummaranatham,,3333.26,78.5916335,13.3453553
67,Andhra Pradesh,Chittoor,Sri Lakshminarasimha Banana Traders,"BLOCK-14, AGRICULTURE MARKET YARD, MANGO MARKET YA",Y.Shankaraiah,,,
68,Andhra Pradesh,Chittoor,Sri Lakshmivinayaka Fruits Mundi A/C Chamber,"FLAT NO 17, MANGO MARKET, TIRUCHANOOR ROAD, TIRUPA",B.Purushothamreddy,30,79.4191795,13.6287557
69,Andhra Pradesh,Chittoor,Sri Srinivaasaagri Cold Storage India Pvt Ltd,"4-24/A, BALAGURAVAIAHGARIPALLY ROAD, PUNGANOOR,",Kp.Shobanbabu,500,,
70,Andhra Pradesh,Chittoor,Sri V Govindarajulu Unit - I,"Survey No.228/1, Peddakannali Village, Thottambedu Mandal, Chittoor District",,510.15,78.8382644,13.4787911
71,Andhra Pradesh,Chittoor,Sri V Govindarajulu Unit - II,"Survey No.228/1, Peddakannali Village, Thottambedu Mandal, Chittoor District",,229.48,78.8382644,13.4787911
72,Andhra Pradesh,Chittoor,Sri.Lakshmivenkateshwarabanana Traders,"SHOP NO 5, AMC MARKET YARD, MARKET YARD, TIRUPATHI",S.Jayakrishana,8615,79.4191795,13.6287557
73,Andhra Pradesh,Chittoor,Srikrishana Cold Storage Pvt Ltd,"28-122, MELUPATLA, POWER OPP PUNGANOR,",G.Krishnareddy,,,
74,Andhra Pradesh,Chittoor,Srilaxmivenkateshwara Fruitsmarchents,"12-4-429, BANDA STREET, NANUGUKALLA MANDAPAM, TIRU",Y.Tirupalaiah,10,,
75,Andhra Pradesh,Chittoor,Srinifoodpark,MOGILI,Bhanu,300,78.8364948,13.1847107
76,Andhra Pradesh,Chittoor,Srinivasabaanaripling Mandi,"17-114, SUNDAR AYYAR STREET, OLD BUS STAND,",Shanukareddy,,,
77,Andhra Pradesh,Chittoor,Srisaisadanbanana Mandi,"11-404, DTK ROAD, GURNADHA THIYAN",K.Pandiyan,7,,
78,Andhra Pradesh,Chittoor,Star Fruits,"MSR THIYATN, NARSING HOME STREET, MADANAPALLY,",Sr.Akbar Basha,6,,
79,Andhra Pradesh,Chittoor,Swethabanana Cold Storage,6-12-B MARKET KUPPAM,P.Ananth,,78.342291,12.7461129
80,Andhra Pradesh,Chittoor,Venkateshwara Banana Mandi,"17-102, SUNDARAIAH STREET,",M.Munikrishna Reddy,,,
81,Andhra Pradesh,East Godavari,AVK.Raju,Gollaprolu Village/Gollaprolu Mandal,,4769.62,82.2862828,17.1532881
82,Andhra Pradesh,East Godavari,B. V. S. Sekhar,"Ippanapadu, Mandapeta Mandal",,2324,81.881504,16.9327104
83,Andhra Pradesh,East Godavari,B.K.Agarwal,"Chollangi Village , Kakinada",,4769.62,82.2474648,16.9890648
84,Andhra Pradesh,East Godavari,Chalasani Syamala Devi,"R S No.207, ABD Road, Rajanagaram, East Godavari District",,4220,82.0407137,17.32125
85,Andhra Pradesh,East Godavari,Chinta China Pandu Ranga Reddy,"S.No.224, Village : Balabhadrapuram, Mandal : Biccavolu",,6572,82.0484013,16.9609832
86,Andhra Pradesh,East Godavari,Chinta Mangayamma,"S.No.224, Village : Balabhadrapuram, Mandal : Biccavolu",,6572,82.0484013,16.9609832
87,Andhra Pradesh,East Godavari,Chirla Bhupathy Reddy,"RS.No. 49/2, NH-214, Chollangi Panchayat, Tallarevu Mandal",,5296,,
88,Andhra Pradesh,East Godavari,Chunduru Ananta Laxmi,"S.No.90/2, Vedurumudi Village, Kapileswara Mandal, East Godavari",,2379.24,82.0407137,17.32125
89,Andhra Pradesh,East Godavari,DMR Rural Farmers Warehouse ( D. Madhusudan Rao & D. Kusuma Kanaklatha ),"Survey No. 148, Rythu Nagaram Village, Nandyal Mandal",,6500,78.487285,15.4776876
90,Andhra Pradesh,East Godavari,E Varalakshmi,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62,81.1302716,16.1808917
91,Andhra Pradesh,East Godavari,GSS Tulasi,"Rajavolu ,Rajahmundry",,4769.62,81.8040345,17.0005383
92,Andhra Pradesh,East Godavari,Gayatri Storage,"Tossipudi, Biccavolu, Biccavolu Mandal",,7013,76.6123884,16.4144834
93,Andhra Pradesh,East Godavari,Gunnam Soma Sirkar,"Ippanapadu, Mandapeta Mandal",,7148,81.881504,16.9327104
94,Andhra Pradesh,East Godavari,J.Mani,"Jaggammagari Peta,Samalkot",,4769.62,82.1679386,17.0500453
95,Andhra Pradesh,East Godavari,J.Naveen Kumar,"Jaggammagari Peta,Samalkot",,4769.62,82.1679386,17.0500453
96,Andhra Pradesh,East Godavari,J.Ramaswamy,"Jaggammagari Peta,Samalkot",,4769.62,82.1679386,17.0500453
97,Andhra Pradesh,East Godavari,J.Subba Rao,"Jaggammagari Peta,Samalkot",,4769.62,82.1679386,17.0500453
98,Andhra Pradesh,East Godavari,JNVVS Marthanda Rao,"Jaggammagari Peta,Samalkot",,4769.62,82.1679386,17.0500453
99,Andhra Pradesh,East Godavari,K Subbaraju,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62,81.1302716,16.1808917
100,Andhra Pradesh,East Godavari,K. Partha Saradhi,Rajanagaram Village And Mandal,,6244,81.9017706,17.0806322
101,Andhra Pradesh,East Godavari,KAKINADA,nan,J. Chandra Sekhar,42443,,
102,Andhra Pradesh,East Godavari,Kantamani Kasi Viswesvara Rao,"S.No.224/1, ABD Road, Rajanagaram Village",,8092,81.9017706,17.0806322
103,Andhra Pradesh,East Godavari,Kotapalli Madhavi,"S.No.224, Village : Balabhadrapuram, Mandal : Biccavolu",,6572,82.0484013,16.9609832
104,Andhra Pradesh,East Godavari,Kovuru Satyanarayana Reddy,"D. No. 1-3. Pandalapaka Village, Biccavolu Mandal",,2082,76.6123884,16.4144834
105,Andhra Pradesh,East Godavari,Kovvuri Gavara Reddy,"S.No.224, Village : Balabhadrapuram, Mandal : Biccavolu",,6572,82.0484013,16.9609832
106,Andhra Pradesh,East Godavari,Kovvuri Vijayalakshmi,"S.No.224, Village : Balabhadrapuram, Mandal : Biccavolu",,6572,82.0484013,16.9609832
107,Andhra Pradesh,East Godavari,Kumari Sri Raja,"Jaggammagari Peta,Samalkot",,4769.62,82.1679386,17.0500453
108,Andhra Pradesh,East Godavari,Lalitha Enterprises,"Survey No.227/1&2 , Pandalapaka GP, Biccavole Mandal",,3503,76.6123884,16.4144834
109,Andhra Pradesh,East Godavari,M. Ramachandra Reddy,"Chintapally, Pedapudi Mandal",,1200,,
110,Andhra Pradesh,East Godavari,M/S Anaparthy Sai Sridevi & 17 Partners,Mandapeta/East Godavari,,10000,81.9263789,16.8626906
111,Andhra Pradesh,East Godavari,M/S Karri Rajeswari Rural Godown,"RS. No. 92/S & 5, Ramavaram Village, Anaparthi Mandal, East Godavari",,9707.66,82.0407137,17.32125
112,Andhra Pradesh,East Godavari,M/S Saibhya Agro Storages,Dharmavaram,,3000,77.7201031,14.4124551
113,Andhra Pradesh,East Godavari,M/S Saibhya Cold Storage Pvt. Ltd,Dharmavaram,,2500,77.7201031,14.4124551
114,Andhra Pradesh,East Godavari,M/S Smt.Karri Prabalaxmi Rural Godown,"Sy.No.202/2,203/5, Pandalapaka Village, Biccavole Mandal, East Godavari Dt",,3812,82.0407137,17.32125
115,Andhra Pradesh,East Godavari,M/S Sri Satyasri Godowns,Duppalapudi/East Godavari,,3138.62,81.9521177,16.949785
116,Andhra Pradesh,East Godavari,M/S Sri Venkateswar Godowns ( D. Krishna Reddy ),"Dugguduru Village, Kajurulu Mandal",,569,82.1709318,16.7962072
117,Andhra Pradesh,East Godavari,M/S Srinivasa Paddy Storages,"Survey No.106/1, Ramavaram Village, Mandal Anaparthi District, East Godavari",,1837,82.0407137,17.32125
118,Andhra Pradesh,East Godavari,M/S Srinivasa Rice Traders,"Ramavaram(V), Jaggampeta(M), East Godavari",,4551,82.0407137,17.32125
119,Andhra Pradesh,East Godavari,Maddireddy Lakshmana Swamy,"Narsipudi, Alamuru Mandal, East Godavari",,104.61,82.0407137,17.32125
120,Andhra Pradesh,East Godavari,Merla Agasthiah,"Velangi Village, Karapa Mandal",,184.64,,
121,Andhra Pradesh,East Godavari,Murali Krishna Storage,"S.No.78/4, Pedapalla Village, Alamuru Mandal",,3710.47,,
122,Andhra Pradesh,East Godavari,N V V Krishna Rao,"Rajavolu ,Rajahmundry",,4769.62,81.8040345,17.0005383
123,Andhra Pradesh,East Godavari,NRRC Surya Kumari,"Jaggammagari Peta,Samalkot",,4769.62,82.1679386,17.0500453
124,Andhra Pradesh,East Godavari,Naga Raju,"Duppalapudi Village, Anaparthi Mandal",,4769.62,,
125,Andhra Pradesh,East Godavari,Nageswar Rao,"Duppalapudi Village, Anaparthi Mandal",,4769.62,,
126,Andhra Pradesh,East Godavari,Nallamili Satyanarayana Reddy,Nadakuduru Village,,3395,82.2060268,16.9164131
127,Andhra Pradesh,East Godavari,P Sarveshwara Rao,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62,81.1302716,16.1808917
128,Andhra Pradesh,East Godavari,P Satyanarayana & P S Kumar,"Rajavolu, Rajahmundry",,4769.62,81.8040345,17.0005383
129,Andhra Pradesh,East Godavari,P. Satyanarayana Reddy,"RS.No. 51/1/2, 51/1/3, NH-214, Chollangi Panchayat, Tallarevu Mandal",,7030,,
130,Andhra Pradesh,East Godavari,P.Janaki Ram,"Rajavolu ,Rajahmundry",,4769.62,81.8040345,17.0005383
131,Andhra Pradesh,East Godavari,P.Satyanarayana,"Rajavolu ,Rajahmundry",,4769.62,81.8040345,17.0005383
132,Andhra Pradesh,East Godavari,P.V.G.Gandhi Mohan,"Chollangi Village , Kakinada",,4769.62,82.2474648,16.9890648
133,Andhra Pradesh,East Godavari,PSVVB Prasad & P. Satyanarayana,"S.No.253/6,7,8,9,10,11, Village & Mandal : Kapileshwarapuram,",,6502,,
134,Andhra Pradesh,East Godavari,R.Satyanandam,"Chollangi Village , Kakinada",,4769.62,82.2474648,16.9890648
135,Andhra Pradesh,East Godavari,RAJAHMUNDRY,nan,M.A.AIi Khan,44000,,
136,Andhra Pradesh,East Godavari,S. Satyanarayana Raju,"Mattaparu, Palkol Mandal",,2718,81.7258373,16.5179056
137,Andhra Pradesh,East Godavari,S.K.Sharma,"Chollangi Village , Kakinada",,4769.62,82.2474648,16.9890648
138,Andhra Pradesh,East Godavari,S.Shakuntala Sharma,"Chollangi Village , Kakinada",,4769.62,82.2474648,16.9890648
139,Andhra Pradesh,East Godavari,SS Varma,Gollaprolu Village/Gollaprolu Mandal,,4769.62,82.2862828,17.1532881
140,Andhra Pradesh,East Godavari,Sathi Aparanji,"S. No.57/6,7,8,10B,11& 140/11B,12B,13,14 Z.Medapadu & Kesavaram Villages, Mandapeta Mandal, East Godavari",,11186,82.0407137,17.32125
141,Andhra Pradesh,East Godavari,Sathi Ramachandra Reddy,"S.No.224, Village : Balabhadrapuram, Mandal : Biccavolu",,6572,82.0484013,16.9609832
142,Andhra Pradesh,East Godavari,"Satti Adilakshmi, W/O Satti Ramakrishna Reddy","RS.No. 49/2, NH-214, Chollangi Panchayat, Tallarevu Mandal",,5296,,
143,Andhra Pradesh,East Godavari,Satty Krishna Reddy,"4/268, Main Road, Penuguduru, Karapa Mandal",,5138,,
144,Andhra Pradesh,East Godavari,Shri M. Krishna Murthy,"Kurmapuram, Rayavaram Mandal",,232,,
145,Andhra Pradesh,East Godavari,Shri Mattey Satya Prasad,"Surampalem, Gandepalli Mandal, Rajahmundry Road, Peddapuram, East Godavari District",,6160,82.0407137,17.32125
146,Andhra Pradesh,East Godavari,Shri Mattey Srinivas,"Surampalem, Gandepalli Mandal, Rajahmundry Road, Peddapuram, East Godavari District",,6042,82.0407137,17.32125
147,Andhra Pradesh,East Godavari,Shri Tetala Naveen,"Beside Door No. 4-135a, Tossipudi, Bkkavolu Mandal",,7500,76.6123884,16.4144834
148,Andhra Pradesh,East Godavari,Shri Venkateswara Godowns,"R S No. 73/1, Korumilli Village, Kapileswarapuram Mandal, East Godavari",,421.47,82.0407137,17.32125
149,Andhra Pradesh,East Godavari,Shri. PeddyReddy Satish,"Survey No. 305, New RS No. 13/2,Kovvuru Road, Kakinada Rural, Dist-East Godavari",,3410,82.0407137,17.32125
150,Andhra Pradesh,East Godavari,Shri. Putchakayala Tata Raju,"Block No.6, Near Maramma Temple, Venturu Village, Rayavaram Mandal, East Godavari - 533261",,425,81.9916586,16.8561481
151,Andhra Pradesh,East Godavari,Sir Aurthur Cotton Food Storage,"Biccavolu, Biccavolu Mandal",,4323,76.6123884,16.4144834
152,Andhra Pradesh,East Godavari,Smt D.Kusumalatha,"Rs 150/3, 150/4, KNF Road, Nadakuduru, Karapa Mandal",,3358,,
153,Andhra Pradesh,East Godavari,Smt Kovvuri Kusuma,"Rs 150/3, 150/4, KNF Road, Nadakuduru, Karapa Mandal",,4345,,
154,Andhra Pradesh,East Godavari,Smt Sathi Manikyam,"S. No.57/1,2,3,6,140/1B,2B, 4B,5B,6B, 7B,140/3,143/8Z.Medapadu & Kesavaram Villages, Mandapeta Mandal, East Godavari",,10843,82.0407137,17.32125
155,Andhra Pradesh,East Godavari,Smt Sathi Satyaveni,"S. No.57/3,6,7, 140/7B,8B, 9B,11B,12B, Z.Medapadu & Kesavaram Villages, Mandapeta Mandal, East Godavari",,11336,82.0407137,17.32125
156,Andhra Pradesh,East Godavari,Smt. Akkina Lalitha Chengalva,"S.No.93/1A, Village: Hukumpeta",,9961,82.6937697,18.1520865
157,Andhra Pradesh,East Godavari,Smt. Cherukuri Srilaxmi,"S.No.93/1A,93/2, 93/3 Village: Hukumpeta",,16304,,
158,Andhra Pradesh,East Godavari,"Smt. Karedla Santha Kumri, Machara Village, East Godavari District","M/S Karedla Santha Kumari Rural Godowns R S No.475/2, Machara Village, Machara Village, Kapileswarapuram Mandal, East Godavari District",,1751.22,82.0407137,17.32125
159,Andhra Pradesh,East Godavari,"Smt. Nallamili Manga Devi, W/O N.P. Satyanarayana Reddy","RS No. 907/4, Door No. 1-5, Pedapudi , Pedapudi Mandal, East Godavari District",,333,82.0407137,17.32125
160,Andhra Pradesh,East Godavari,Smt. Sathi Bhskara Santha,"Survey No. 28/1, 29/2, Village: Polamuru, Mandal: Anaparthi, Dist: East Godavari",,2387,82.0407137,17.32125
161,Andhra Pradesh,East Godavari,Smt. Satti Vijaya Kanakadurga Mahalakshmi,"Survey No.66/2 & 60/1, Chollangi(V), Tallarevu(M), East Godavari",,4883,82.0407137,17.32125
162,Andhra Pradesh,East Godavari,Smt.Cherukuri Subbalaxmi,"S.No.93/2,93/3 Village: Hukumpeta",,10991,,
163,Andhra Pradesh,East Godavari,Smt.Reddy Adilaxmi,"S.No.538/6, Yeditha Village, Alamuru Mandal, East Godavari District",,1756,82.0407137,17.32125
164,Andhra Pradesh,East Godavari,"Sri Bhaskara Laxmi Storages,","Pedapalla, Alamuru Mandal",,2419,,
165,Andhra Pradesh,East Godavari,Sri D.Vipul Avinash Reddy,"Rs 150/3, 150/4, KNF Road, Nadakuduru, Karapa Mandal",,2487,,
166,Andhra Pradesh,East Godavari,Sri Godavarthy Venkata Ramana Murthy S/O Satyanarayana Murthy,"M/S Sri Godavarthy Venkata Ramana Murthy Godowns, R S No.150/8,9,10, Penikeru, Alamuru Mandalam, East Godavari District",,251,82.0407137,17.32125
167,Andhra Pradesh,East Godavari,Sri P.Ramakrishna Chowdary,"S.No.124/2, Maredubaka Village, Mandapeta Mandal",,4488,81.881504,16.9327104
168,Andhra Pradesh,East Godavari,Sri Veera Venkata Satyanarayana Storage Complex,"S.No.29/2, Polamuru Village, Anaparthy Mandal",,7001,,
169,Andhra Pradesh,East Godavari,Sri Veeravenkata Satyanarayana Storage Complex,"R.S. Peta, Biccavolu, Biccavolu Mandal",,9026,76.6123884,16.4144834
170,Andhra Pradesh,East Godavari,Sri Venkateswara Agros (Managing Partner: Tetala China Krishna Reddy),"Komaripalem, Biccavolu Mandal,",,3288,,
171,Andhra Pradesh,East Godavari,T V.Swamy,"Rajavolu, Rajahmundry",,4769.62,81.8040345,17.0005383
172,Andhra Pradesh,East Godavari,T.Sunitha,"Jaggammagari Peta,Samalkot",,4769.62,82.1679386,17.0500453
173,Andhra Pradesh,East Godavari,TS Anantha Lakshmi,"Jaggammagari Peta,Samalkot",,4769.62,82.1679386,17.0500453
174,Andhra Pradesh,East Godavari,Thota Sudha,"Jaggammagari Peta,Samalkot",,4769.62,82.1679386,17.0500453
175,Andhra Pradesh,East Godavari,V J V Shyamalamba,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62,81.1302716,16.1808917
176,Andhra Pradesh,East Godavari,V Murali Krishna,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62,81.1302716,16.1808917
177,Andhra Pradesh,East Godavari,V N Jayarekha,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62,81.1302716,16.1808917
178,Andhra Pradesh,East Godavari,V N V Varalakshmi,"Pedakara Agraharam Village, Bandara Mandal , Machalipatnam",,4769.62,81.1302716,16.1808917
179,Andhra Pradesh,East Godavari,V. Drowpati,"Narsipudi Village, Alamuru Mandal",,143.86,,
