,Location Name,Longitude,Latitude
0,JUNGL,,
1,PORT BLAIR,92.7264828,11.6233774
2,GOVIND NAGAR,80.3093914,26.4492218
3,NEW WANDOOR,76.2360376,11.1955096
4,B/85 INDUSTRIAL STATE DOLLYGUNJ,92.7120575,11.6357989
5,LITTLE ANDAMAN,2.1521917,41.3923703
6,CYLONE BASTHI LITTLE ANDAMAN,2.1521917,41.3923703
7,nan,,
8,Uravakonda,77.2577817,14.9441154
9,Anantapur,77.6005911,14.6818877
10,Anantpur,77.6005911,14.6818877
11,Rahamathpur,77.4960078,13.8155465
12,Rahamathpur,77.4960078,13.8155465
13,Hindupur,77.5009298,13.8222599
14,District : Ananthapur,77.6307018,14.6757944
15,Anantapur Dist.,77.6307018,14.6757944
16,Uravakonda Mandal,77.2577817,14.9441154
17,nan,,
18,Guntakal Mandal,77.3769836,15.1660706
19,District Ananthapur,77.6307018,14.6757944
20,Ananthapur,77.6005911,14.6818877
21,Tadipatri Mandal,78.0092047,14.9091024
22,Nandikotkur,78.2649533,15.8555909
23,,,
24,BLOCK39 PUTTHUR,75.2070644,12.7686756
25,MARKET ROAD PUTTHUR,75.2486267,12.8402843
26,BLOCK NO 28 MARKET PUTTHUR,75.2070644,12.7686756
27,BLOCK NO 22 MARKET PUTTHUR,75.2070644,12.7686756
28,KALLUR,79.0004517,13.5583316
29,,,
30,CORICORN [At]CORPRICORN GROOP[Dot]COM,,
31,TIRUPAT,79.4191795,13.6287557
32,BLOCK NO 18 MARKET PUTTHUR,75.2070644,12.7686756
33,Yarpedu Mandal,,
34,Yarpedu Mandal,,
35,Yarpedu Mandal,,
36,Yarpedu Mandal,,
37,PUNGANOOR OLD BUS STAND,78.5712022,13.3664136
38,,,
39,HFILSPM[At]GMAIL[Dot]COM,,
40,MANJUNATH[Dot]GC[At]HERITAGETETAIL[Dot]COM,,
41,GOLLPALLI,80.9093148,16.7269099
42,nan,,
43,PUNGANOOR,78.5713232,13.368608
44,MARKET KUPPAM,78.342291,12.7461129
45,,,
46,,,
47,Agraharam( Dakala),,
48,Jangalapalli,80.1877404,16.237379
49,OLD BUS STAND,80.4146561,8.3406704
50,MOHAMMEDAFROZ82[At]YAHOO[Dot]COM,,
51,KALLUR,79.0004517,13.5583316
52,ROYALPETA ROAD,80.2640711,13.0539587
53,RAMASAMUDRAM ROAD PUNGANUR,78.5713232,13.368608
54,,,
55,MAIN ROAD,,
56,nan,,
57,,,
58,GUDURPALLI VILLEGE PUNGANUR,78.5713232,13.368608
59,PUTTHUR NEW BUS STAND ROAD,75.2070644,12.7686756
60,KATTUR,80.2836996,13.3549962
61,MADANAPALLY,78.5010007,13.5560496
62,nan,,
63,TIRUCHA,,
64,BESIDE TUNGA HO,,
65,PUNGANOO,,
66,Kummaranatham,78.5916335,13.3453553
67,MANGO MARKET YA,,
68,TIRUPA,79.4191795,13.6287557
69,,,
70,Chittoor District,78.8382644,13.4787911
71,Chittoor District,78.8382644,13.4787911
72,TIRUPATHI,79.4191795,13.6287557
73,,,
74,TIRU,,
75,MOGILI,78.8364948,13.1847107
76,,,
77,GURNADHA THIYAN,,
78,,,
79,6-12-B MARKET KUPPAM,78.342291,12.7461129
80,,,
81,Gollaprolu Village/Gollaprolu Mandal,82.2862828,17.1532881
82,Mandapeta Mandal,81.881504,16.9327104
83,Kakinada,82.2474648,16.9890648
84,East Godavari District,82.0407137,17.32125
85,Mandal : Biccavolu,82.0484013,16.9609832
86,Mandal : Biccavolu,82.0484013,16.9609832
87,Tallarevu Mandal,,
88,East Godavari,82.0407137,17.32125
89,Nandyal Mandal,78.487285,15.4776876
90,Machalipatnam,81.1302716,16.1808917
91,Rajahmundry,81.8040345,17.0005383
92,Biccavolu Mandal,76.6123884,16.4144834
93,Mandapeta Mandal,81.881504,16.9327104
94,Samalkot,82.1679386,17.0500453
95,Samalkot,82.1679386,17.0500453
96,Samalkot,82.1679386,17.0500453
97,Samalkot,82.1679386,17.0500453
98,Samalkot,82.1679386,17.0500453
99,Machalipatnam,81.1302716,16.1808917
100,Rajanagaram Village And Mandal,81.9017706,17.0806322
101,nan,,
102,Rajanagaram Village,81.9017706,17.0806322
103,Mandal : Biccavolu,82.0484013,16.9609832
104,Biccavolu Mandal,76.6123884,16.4144834
105,Mandal : Biccavolu,82.0484013,16.9609832
106,Mandal : Biccavolu,82.0484013,16.9609832
107,Samalkot,82.1679386,17.0500453
108,Biccavole Mandal,76.6123884,16.4144834
109,Pedapudi Mandal,,
110,Mandapeta/East Godavari,81.9263789,16.8626906
111,East Godavari,82.0407137,17.32125
112,Dharmavaram,77.7201031,14.4124551
113,Dharmavaram,77.7201031,14.4124551
114,East Godavari Dt,82.0407137,17.32125
115,Duppalapudi/East Godavari,81.9521177,16.949785
116,Kajurulu Mandal,82.1709318,16.7962072
117,East Godavari,82.0407137,17.32125
118,East Godavari,82.0407137,17.32125
119,East Godavari,82.0407137,17.32125
120,Karapa Mandal,,
121,Alamuru Mandal,,
122,Rajahmundry,81.8040345,17.0005383
123,Samalkot,82.1679386,17.0500453
124,Anaparthi Mandal,,
125,Anaparthi Mandal,,
126,Nadakuduru Village,82.2060268,16.9164131
127,Machalipatnam,81.1302716,16.1808917
128,Rajahmundry,81.8040345,17.0005383
129,Tallarevu Mandal,,
130,Rajahmundry,81.8040345,17.0005383
131,Rajahmundry,81.8040345,17.0005383
132,Kakinada,82.2474648,16.9890648
133,,,
134,Kakinada,82.2474648,16.9890648
135,nan,,
136,Palkol Mandal,81.7258373,16.5179056
137,Kakinada,82.2474648,16.9890648
138,Kakinada,82.2474648,16.9890648
139,Gollaprolu Village/Gollaprolu Mandal,82.2862828,17.1532881
140,East Godavari,82.0407137,17.32125
141,Mandal : Biccavolu,82.0484013,16.9609832
142,Tallarevu Mandal,,
143,Karapa Mandal,,
144,Rayavaram Mandal,,
145,East Godavari District,82.0407137,17.32125
146,East Godavari District,82.0407137,17.32125
147,Bkkavolu Mandal,76.6123884,16.4144834
148,East Godavari,82.0407137,17.32125
149,Dist-East Godavari,82.0407137,17.32125
150,East Godavari - 533261,81.9916586,16.8561481
151,Biccavolu Mandal,76.6123884,16.4144834
152,Karapa Mandal,,
153,Karapa Mandal,,
154,East Godavari,82.0407137,17.32125
155,East Godavari,82.0407137,17.32125
156,Village: Hukumpeta,82.6937697,18.1520865
157,93/3 Village: Hukumpeta,,
158,East Godavari District,82.0407137,17.32125
159,East Godavari District,82.0407137,17.32125
160,Dist: East Godavari,82.0407137,17.32125
161,East Godavari,82.0407137,17.32125
162,93/3 Village: Hukumpeta,,
163,East Godavari District,82.0407137,17.32125
164,Alamuru Mandal,,
165,Karapa Mandal,,
166,East Godavari District,82.0407137,17.32125
167,Mandapeta Mandal,81.881504,16.9327104
168,Anaparthy Mandal,,
169,Biccavolu Mandal,76.6123884,16.4144834
170,,,
171,Rajahmundry,81.8040345,17.0005383
172,Samalkot,82.1679386,17.0500453
173,Samalkot,82.1679386,17.0500453
174,Samalkot,82.1679386,17.0500453
175,Machalipatnam,81.1302716,16.1808917
176,Machalipatnam,81.1302716,16.1808917
177,Machalipatnam,81.1302716,16.1808917
178,Machalipatnam,81.1302716,16.1808917
179,Alamuru Mandal,,
180,Machalipatnam,81.1302716,16.1808917
181,Kakinada,82.2474648,16.9890648
182,Ramachandrapuram Mandal,79.4028639,13.5262282
183,Tadikonda Mandal,76.840383,16.7553661
184,Bapatla,80.4671375,15.9039445
185,Baptala Mandal,80.4681844,15.9040102
186,Guntur District,80.0087746,16.3905692
187,Guntur,80.4365402,16.3066525
188,Cherukupalli Mandal,76.5892774,16.4821896
189,MACHARLAROAD NADIKUDI VILAGE DACHEPALLY MANDAL,79.7068596,16.5879495
190,NEAR MIRCH YARD ANKI REDDY PALEM,80.4107139,16.2864231
191,AMC YARD,,
192,DNO9-82 NH-5 LALPURAM BY PASS ROAD,80.2219261,13.1425492
193,Guntur District,80.0087746,16.3905692
194,Baptala Mandal,80.4681844,15.9040102
195,Baptala Mandal,80.4681844,15.9040102
196,Guntur District,80.0087746,16.3905692
197,Guntur,80.4365402,16.3066525
198,Kollipara Village And Mandal,80.749466,16.2872181
199,Nadikudi,79.7068596,16.5879495
200,Nadikudi,79.7068596,16.5879495
201,Nadikudi,79.7068596,16.5879495
202,Parthipadu Mandal,82.1917781,17.2294723
203,Dugirala Mandal,77.070837,16.6775836
204,Pitakakami Mandal,,
205,Guntur,80.4365402,16.3066525
206,Bapatla Market Yard,80.4936204,15.9164161
207,ANKIREDDYPALEM,80.3923079,16.2876751
208,Thatapudi,81.9002728,16.7632792
209,Baptla Mandal,80.4681844,15.9040102
210,NH-5,77.1031998,31.0306204
211,Kollipara Village & Mandal,80.749466,16.2872181
212,NH 5 BOPPUDI VILAGE CHILAKALURIPET MANDAL,80.1656205,16.0948008
213,ANKIREDDYPALLI,79.0072883,15.3960875
214,nan,,
215,M),,
216,nan,,
217,Cherukupalli Mandal Guntur,80.6805413,16.0493704
218,ANKIREDDY PALEM NH-5,83.9275643,18.3159269
219,Tenali Mandal,80.6495483,16.2381344
220,Chilakaluripet,80.1656205,16.0948008
221,NH5 TATA PUDI VILAGE CHPETA MANDAL,80.1655471,16.0944603
222,Murkipudi,80.1037721,16.0403202
223,nan,,
224,ANKIREDDY PALEM NH-5BY PASS ROAD,-71.5723953,43.1938516
225,Komerapudi/Guntur,80.2113385,16.3530387
226,Kollur Mandal,,
227,Bapatla Mandal,80.4681844,15.9040102
228,NEAR MIRCH YARD,,
229,LINK ROAD,,
230,BY PASS JUNCTION,75.8043655,11.2367864
231,GURAJALA VILAGE MANDAL,79.6371314,16.5580212
232,LALPURAM NH-5 PROGRAM BY PAS,80.4494344,16.2868497
233,Guntur District,80.0087746,16.3905692
234,AUTO NAGAR,78.5831181,17.3578951
